task_id,n_channels,demand_channels,method,channel,ebn0_db,mean_regret_db,mean_actual_bits,frame_success_rate,mean_link_latency_ms
N16_D8,16,8,best_block_onehot,awgn,6.0,0.0,494.6277777777778,1.0,1.3072305555555506
N16_D8,16,8,best_block_onehot,awgn,9.0,0.0,490.0,1.0,1.294999999999995
N16_D8,16,8,best_block_onehot,rayleigh,0.0,0.5364102766248915,911.9444444444445,0.2611111111111112,2.4101388888888926
N16_D8,16,8,best_block_onehot,rayleigh,3.0,0.33004486931694876,795.4333333333333,0.5905555555555556,2.1022166666666684
N16_D8,16,8,best_block_onehot,rayleigh,6.0,0.12257324642605248,683.2777777777778,0.8411111111111121,1.8058055555555528
N16_D8,16,8,best_block_onehot,rayleigh,9.0,0.03080724928114148,598.0722222222222,0.9572222222222232,1.5806194444444426
N16_D8,16,8,best_block_onehot,rician,0.0,0.6264445580376521,938.35,0.16500000000000004,2.4799250000000015
N16_D8,16,8,best_block_onehot,rician,3.0,0.26396881103515635,772.2944444444445,0.6672222222222222,2.041063888888889
N16_D8,16,8,best_block_onehot,rician,6.0,0.05759935590955946,606.2388888888889,0.9377777777777792,1.6022027777777756
N16_D8,16,8,best_block_onehot,rician,9.0,0.006182577345106337,530.0166666666667,0.9933333333333335,1.4007583333333296
N16_D8,16,8,best_block_binary_index,awgn,0.0,0.7464369116889106,951.4711111111111,0.0011111111111111111,2.574568888888896
N16_D8,16,8,best_block_binary_index,awgn,3.0,0.18211894565158424,707.3888888888887,0.7650000000000007,1.91411111111111
N16_D8,16,8,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N16_D8,16,8,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N16_D8,16,8,best_block_binary_index,rayleigh,0.0,0.534390737745497,885.0955555555544,0.2644444444444445,2.394964444444447
N16_D8,16,8,best_block_binary_index,rayleigh,3.0,0.32746120029025605,771.3844444444442,0.5950000000000001,2.0872755555555536
N16_D8,16,8,best_block_binary_index,rayleigh,6.0,0.11981144375271263,662.1688888888888,0.8444444444444452,1.7917511111111104
N16_D8,16,8,best_block_binary_index,rayleigh,9.0,0.03080724928114148,580.9844444444448,0.9572222222222232,1.5720755555555546
N16_D8,16,8,best_block_binary_index,rician,0.0,0.6242381540934246,911.5399999999986,0.16833333333333342,2.4665200000000036
N16_D8,16,8,best_block_binary_index,rician,3.0,0.26231524997287337,749.1711111111114,0.6699999999999999,2.0271688888888866
N16_D8,16,8,best_block_binary_index,rician,6.0,0.055479295518663194,587.5955555555555,0.9383333333333346,1.5899644444444438
N16_D8,16,8,best_block_binary_index,rician,9.0,0.006182577345106337,514.6088888888892,0.9933333333333335,1.3924711111111117
N16_D12,16,12,soft_power_fixed4,awgn,0.0,0.19579967922634547,1148.0,0.0,2.6739999999999924
N16_D12,16,12,soft_power_fixed4,awgn,3.0,0.06041839599609372,888.4244444444444,0.6977777777777776,2.0693788888888895
N16_D12,16,12,soft_power_fixed4,awgn,6.0,0.0006545172797309028,580.6966666666666,1.0,1.3525983333333291
N16_D12,16,12,soft_power_fixed4,awgn,9.0,0.0006545172797309028,574.0,1.0,1.3369999999999962
N16_D12,16,12,soft_power_fixed4,rayleigh,0.0,0.14393049028184676,1074.0177777777794,0.24444444444444444,2.5016755555555554
N16_D12,16,12,soft_power_fixed4,rayleigh,3.0,0.0920465596516927,940.7222222222221,0.5744444444444444,2.1911944444444456
N16_D12,16,12,soft_power_fixed4,rayleigh,6.0,0.03257442898220487,805.8322222222223,0.8344444444444453,1.8769994444444449
N16_D12,16,12,soft_power_fixed4,rayleigh,9.0,0.008906737433539496,705.0633333333333,0.9538888888888899,1.6422816666666655
N16_D12,16,12,soft_power_fixed4,rician,0.0,0.16305384741889106,1104.9500000000012,0.14500000000000002,2.5737249999999987
N16_D12,16,12,soft_power_fixed4,rician,3.0,0.07507995605468748,915.8488888888885,0.6416666666666667,2.133257777777778
N16_D12,16,12,soft_power_fixed4,rician,6.0,0.016918542650010845,716.8622222222222,0.930555555555557,1.6697644444444428
N16_D12,16,12,soft_power_fixed4,rician,9.0,0.0032642067803276904,624.3844444444437,0.9922222222222223,1.4543588888888852
N16_D12,16,12,best_block_onehot,awgn,0.0,0.19577838473849823,951.4711111111111,0.0011111111111111111,2.574568888888896
N16_D12,16,12,best_block_onehot,awgn,3.0,0.047122993469238275,707.3888888888887,0.7650000000000007,1.91411111111111
N16_D12,16,12,best_block_onehot,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N16_D12,16,12,best_block_onehot,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N16_D12,16,12,best_block_onehot,rayleigh,0.0,0.1408307562934028,885.0955555555544,0.2644444444444445,2.394964444444447
N16_D12,16,12,best_block_onehot,rayleigh,3.0,0.08771695031060114,771.3844444444442,0.5950000000000001,2.0872755555555536
N16_D12,16,12,best_block_onehot,rayleigh,6.0,0.030728988647460945,662.1688888888888,0.8444444444444452,1.7917511111111104
N16_D12,16,12,best_block_onehot,rayleigh,9.0,0.008202616373697914,580.9844444444448,0.9572222222222232,1.5720755555555546
N16_D12,16,12,best_block_onehot,rician,0.0,0.1590953063964844,911.5399999999986,0.16833333333333342,2.4665200000000036
N16_D12,16,12,best_block_onehot,rician,3.0,0.06881326463487411,749.1711111111114,0.6699999999999999,2.0271688888888866
N16_D12,16,12,best_block_onehot,rician,6.0,0.01463416629367404,587.5955555555555,0.9383333333333346,1.5899644444444438
N16_D12,16,12,best_block_onehot,rician,9.0,0.002599915398491753,514.6088888888892,0.9933333333333335,1.3924711111111117
N16_D12,16,12,best_block_binary_index,awgn,0.0,0.19577838473849823,951.4711111111111,0.0011111111111111111,2.574568888888896
N16_D12,16,12,best_block_binary_index,awgn,3.0,0.047122993469238275,707.3888888888887,0.7650000000000007,1.91411111111111
N16_D12,16,12,best_block_binary_index,awgn,6.0,0.0,479.96666666666664,1.0,1.2987333333333366
N16_D12,16,12,best_block_binary_index,awgn,9.0,0.0,476.0,1.0,1.2880000000000036
N16_D12,16,12,best_block_binary_index,rayleigh,0.0,0.1408307562934028,885.0955555555544,0.2644444444444445,2.394964444444447
N16_D12,16,12,best_block_binary_index,rayleigh,3.0,0.08771695031060114,771.3844444444442,0.5950000000000001,2.0872755555555536
N16_D12,16,12,best_block_binary_index,rayleigh,6.0,0.030728988647460945,662.1688888888888,0.8444444444444452,1.7917511111111104
N16_D12,16,12,best_block_binary_index,rayleigh,9.0,0.008202616373697914,580.9844444444448,0.9572222222222232,1.5720755555555546
N16_D12,16,12,best_block_binary_index,rician,0.0,0.1590953063964844,911.5399999999986,0.16833333333333342,2.4665200000000036
N16_D12,16,12,best_block_binary_index,rician,3.0,0.06881326463487411,749.1711111111114,0.6699999999999999,2.0271688888888866
N16_D12,16,12,best_block_binary_index,rician,6.0,0.01463416629367404,587.5955555555555,0.9383333333333346,1.5899644444444438
N16_D12,16,12,best_block_binary_index,rician,9.0,0.002599915398491753,514.6088888888892,0.9933333333333335,1.3924711111111117
N32_D8,32,8,soft_power_fixed4,awgn,0.0,1.3456678178575303,1372.0,0.0,2.786000000000001
N32_D8,32,8,soft_power_fixed4,awgn,3.0,0.5253704113430447,1105.9844444444443,0.6261111111111107,2.245825555555555
N32_D8,32,8,soft_power_fixed4,awgn,6.0,0.0016373528374565972,695.908888888889,1.0,1.4131211111111115
N32_D8,32,8,soft_power_fixed4,awgn,9.0,0.0016373528374565972,686.0,1.0,1.3930000000000005
N32_D8,32,8,soft_power_fixed4,rayleigh,0.0,1.0167828157213001,1291.9666666666647,0.225,2.623483333333338
N32_D8,32,8,soft_power_fixed4,rayleigh,3.0,0.6275826178656684,1132.2811111111114,0.5594444444444444,2.29922388888889
N32_D8,32,8,soft_power_fixed4,rayleigh,6.0,0.23727403852674703,974.12,0.823333333333334,1.9780599999999995
N32_D8,32,8,soft_power_fixed4,rayleigh,9.0,0.07232277340359156,846.8288888888893,0.9522222222222232,1.7195811111111132
N32_D8,32,8,soft_power_fixed4,rician,0.0,1.1674329291449652,1327.0288888888874,0.13055555555555554,2.694681111111115
N32_D8,32,8,soft_power_fixed4,rician,3.0,0.5617468727959528,1107.8900000000008,0.6094444444444445,2.2496950000000013
N32_D8,32,8,soft_power_fixed4,rician,6.0,0.12491496615939668,863.9788888888885,0.9255555555555566,1.754406111111112
N32_D8,32,8,soft_power_fixed4,rician,9.0,0.016028603447808154,749.2644444444454,0.9922222222222223,1.5214655555555556
