scheme,packet_loss,ber,trials,mean_bits_per_frame,compression_vs_spectrogram8,compression_vs_iq12,mean_true_occupancy,mean_throughput_score,oracle_gap,mean_regret_occupancy,mean_net_utility,clean_channel_rate,low_interference_rate,oracle_equivalent_rate,exact_oracle_channel_rate,switch_rate
spectrogram8_partial,0.05,0.0001,5,655360.0,0.2,36.62109375,0.006954896729439497,0.9930451035499572,0.003045821003615856,0.0030458209104835985,0.9897670745849609,0.899,0.993,0.857,0.7285999999999999,0.6555999875068664
spectrogram8_rep3_partial,0.05,0.0001,5,1966080.0,0.06666666666666667,12.20703125,0.005143739748746157,0.9948562502861023,0.0012346639181487263,0.0012346637668088078,0.991565215587616,0.932,0.9962,0.9208000000000001,0.7912,0.6581999897956848
fixed_ch0,0.1,0.0,5,0.0,0.0,0.0,0.020055221021175386,0.9799447894096375,0.015913091972470282,0.015913091786205768,0.9799447894096375,0.6824,0.9725999999999999,0.45779999999999993,0.369,0.0
iq12_gate,0.1,0.0,5,96000000.0,0.0013653333333333334,0.25,0.018157993257045747,0.9818420171737671,0.014015864953398705,0.014015864580869675,0.9784890055656433,0.6894,0.9805999999999999,0.44160000000000005,0.3356,0.6705999970436096
iq12_partial,0.1,0.0,5,120000000.0,0.0010922666666666667,0.2,0.006438687909394503,0.9935612916946411,0.0022965595591813324,0.00229655965231359,0.9902683019638061,0.9026,0.9952,0.8782,0.7498,0.6586000084877014
oracle,0.1,0.0,5,0.0,0.0,0.0,0.004142128489911556,0.9958578705787658,0.0,0.0,0.9925478577613831,0.933,1.0,1.0,1.0,0.6620000004768372
random,0.1,0.0,5,0.0,0.0,0.0,0.01868610717356205,0.9813138961791992,0.014543979801237584,0.014543979428708553,0.9779818892478943,0.6841999999999999,0.978,0.446,0.34739999999999993,0.6664000034332276
semantic_hard,0.1,0.0,5,1047.5503999999999,125.12349244162856,22910.795735161475,0.006382258329540491,0.9936177134513855,0.00224012965336442,0.002240129699930549,0.9902917504310608,0.9029999999999999,0.9949999999999999,0.8744,0.7486,0.6652000069618225
semantic_hard_rep3,0.1,0.0,5,3142.6512,41.707830813876186,7636.931911720492,0.0053819529712200165,0.994618034362793,0.0012398243532516062,0.0012398243532516062,0.9913100242614746,0.923,0.9959999999999999,0.9228,0.7898,0.6615999817848206
semantic_soft,0.1,0.0,5,1306.1119999999999,100.35563360240442,18375.665332471515,0.0064098495990037915,0.9935901403427124,0.002267721155658364,0.002267721155658364,0.9903021216392517,0.9030000000000001,0.9952,0.8788,0.7474000000000001,0.6575999855995178
semantic_soft_rep3,0.1,0.0,5,3918.3360000000002,33.451877867468134,6125.221777490504,0.005355562921613455,0.9946444392204284,0.0012134346412494778,0.0012134346528910101,0.9913364052772522,0.9232000000000001,0.9962,0.9238,0.7908000000000001,0.6615999937057495
spectrogram8_gate,0.1,0.0,5,524288.0,0.25,45.7763671875,0.01888076774775982,0.9811192274093627,0.014738639071583747,0.014738639630377293,0.9777981996536255,0.681,0.9792,0.42960000000000004,0.3308,0.6641999959945679
spectrogram8_partial,0.1,0.0,5,655360.0,0.2,36.62109375,0.006455205753445626,0.9935447931289673,0.002313077263534069,0.0023130772868171336,0.990309762954712,0.9014000000000001,0.9944,0.8766,0.7484,0.647000002861023
spectrogram8_rep3_partial,0.1,0.0,5,1966080.0,0.06666666666666667,12.20703125,0.005389831401407719,0.9946101903915405,0.0012477029813453555,0.0012477029697038234,0.991322135925293,0.9221999999999999,0.9962,0.9214,0.7904,0.6575999975204467
fixed_ch0,0.1,1e-05,5,0.0,0.0,0.0,0.020269300043582916,0.9797307133674622,0.016352666169404985,0.016352666914463042,0.9797307133674622,0.6856,0.9726000000000001,0.4678,0.3786,0.0
iq12_gate,0.1,1e-05,5,96000000.0,0.0013653333333333334,0.25,0.018833095207810402,0.9811669111251831,0.014916460774838925,0.01491646096110344,0.9778828978538513,0.6881999999999999,0.9763999999999999,0.4344,0.331,0.6568000078201294
iq12_partial,0.1,1e-05,5,120000000.0,0.0010922666666666667,0.2,0.006394034810364246,0.9936059713363647,0.0024774011690169573,0.002477400982752442,0.9903729438781739,0.905,0.9942,0.8722,0.7482,0.6465999960899353
oracle,0.1,1e-05,5,0.0,0.0,0.0,0.003916633687913418,0.9960833787918091,0.0,0.0,0.9928863406181335,0.9396000000000001,0.9998000000000001,1.0,1.0,0.6394000053405762
random,0.1,1e-05,5,0.0,0.0,0.0,0.018920552730560303,0.9810794591903687,0.01500391997396946,0.015003919787704944,0.9777744174003601,0.6811999999999999,0.9776,0.43520000000000003,0.3354,0.6610000014305115
semantic_hard,0.1,1e-05,5,1050.9919999999997,124.71396833600038,22835.809631836008,0.006390901282429695,0.993609082698822,0.0024742679204791786,0.002474267967045307,0.9903600692749024,0.9067999999999999,0.9938,0.8775999999999999,0.7497999999999999,0.6498000025749207
semantic_hard_rep3,0.1,1e-05,5,3152.976,41.57132277866679,7611.936543945335,0.005240974389016629,0.9947590231895447,0.0013243410736322402,0.0013243409572169184,0.9915280222892762,0.9272,0.9960000000000001,0.9218,0.7986000000000001,0.6461999893188477
semantic_soft,0.1,1e-05,5,1313.7599999999998,99.7719272433027,18268.785505975837,0.0059643997810781,0.9940355896949769,0.0020477664656937122,0.0020477664191275837,0.9908135771751404,0.9109999999999999,0.9955999999999999,0.8785999999999999,0.7502,0.6444000005722046
semantic_soft_rep3,0.1,1e-05,5,3941.28,33.25730908110089,6089.595168658611,0.005149389151483774,0.9948506236076355,0.0012327556265518068,0.0012327555334195495,0.9916025519371032,0.9269999999999999,0.9964000000000001,0.9216000000000001,0.795,0.6495999932289124
spectrogram8_gate,0.1,1e-05,5,524288.0,0.25,45.7763671875,0.019217844307422637,0.9807821273803711,0.01530121061950922,0.01530121061950922,0.9774441361427307,0.6836,0.9757999999999999,0.4272,0.332,0.6675999999046326
spectrogram8_partial,0.1,1e-05,5,655360.0,0.2,36.62109375,0.006260374933481217,0.9937396168708801,0.002343741408549249,0.002343741455115378,0.9904905796051026,0.9098,0.9944,0.8800000000000001,0.759,0.6498000025749207
spectrogram8_rep3_partial,0.1,1e-05,5,1966080.0,0.06666666666666667,12.20703125,0.005306992307305336,0.9946930170059204,0.0013903587823733687,0.001390358665958047,0.9914269804954529,0.9263999999999999,0.9958,0.9216000000000001,0.796,0.6531999945640564
fixed_ch0,0.1,0.0001,5,0.0,0.0,0.0,0.01898583509027958,0.9810141801834107,0.015108186565339566,0.01510818600654602,0.9810141801834107,0.6970000000000001,0.977,0.4646,0.3742,0.0
iq12_gate,0.1,0.0001,5,96000000.0,0.0013653333333333334,0.25,0.01735151819884777,0.982648491859436,0.013473869673907757,0.013473869487643241,0.9792634725570679,0.7041999999999999,0.9814,0.44539999999999996,0.3422,0.6769999980926513
iq12_partial,0.1,0.0001,5,120000000.0,0.0010922666666666667,0.2,0.006890746112912893,0.9931092858314514,0.003013097681105137,0.0030130976345390083,0.9898142337799072,0.8964000000000001,0.9934000000000001,0.8362,0.7028,0.6590000033378601
oracle,0.1,0.0001,5,0.0,0.0,0.0,0.0038776487577706575,0.9961223602294922,0.0,0.0,0.9929033279418945,0.9426,0.9998000000000001,1.0,1.0,0.6437999963760376
random,0.1,0.0001,5,0.0,0.0,0.0,0.018013498559594155,0.9819865107536316,0.014135850593447685,0.014135850407183171,0.9786504864692688,0.6952,0.9798,0.43479999999999996,0.3298,0.6672000169754029
semantic_hard,0.1,0.0001,5,1049.4512,124.897096287711,22869.34136127521,0.00587133439257741,0.9941286563873291,0.0019936855882406236,0.001993685495108366,0.9908316254615783,0.9118,0.9952,0.8812000000000001,0.7516,0.6593999981880188
semantic_hard_rep3,0.1,0.0001,5,3148.3536000000004,41.632365429237,7623.1137870917355,0.005098409671336413,0.9949015974998474,0.0012207610881887377,0.0012207610299810768,0.9916215777397156,0.9308,0.9957999999999998,0.9221999999999999,0.7870000000000001,0.6559999942779541
semantic_soft,0.1,0.0001,5,1310.336,100.03270691609369,18316.535690202698,0.006063432432711124,0.993936562538147,0.002185783814638853,0.0021857836982235312,0.9906255602836609,0.9104000000000001,0.9944,0.8694000000000001,0.739,0.6622000098228454
