threshold_sigma,min_cells,enhancement,n_fft,hop_length,n_pred,n_truth,true_positive,false_positive,false_negative,precision,recall,f1,mean_matched_iou,best_iou,raw_iq_32bit_iq_bps,raw_iq_12bit_iq_bps,stft_8bit_bps,semantic_packet_bps,semantic_packet_bits_per_frame,truth_label_counts,matched_truth_label_counts
8.0,32,freq_median,1024,256,68,55,31,37,24,0.45588235294117646,0.5636363636363636,0.5040650406504065,0.18977464457259433,0.6094478298253068,491520000.0,184320000.0,245534850.14614567,39430.540811726554,5649,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 14, 'PDCCH': 1, 'PDSCH': 1, 'PSS': 5, 'SSS': 10}"
9.0,4,freq_median,1024,256,128,55,0,128,55,0.0,0.0,0.0,0.0,0.03951367781155121,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,8,freq_median,1024,256,128,55,0,128,55,0.0,0.0,0.0,0.0,0.03951367781155121,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,16,freq_median,1024,256,66,55,0,66,55,0.0,0.0,0.0,0.0,0.03951367781155121,491520000.0,184320000.0,245534850.14614567,38313.72606046505,5489,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
9.0,32,freq_median,1024,256,5,55,0,5,55,0.0,0.0,0.0,0.0,0.03951367781155121,491520000.0,184320000.0,245534850.14614567,4250.876146989108,609,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}",{}
3.0,4,time_median,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.5087784463120253,0.6013119533528001,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
3.0,8,time_median,1024,256,128,55,2,126,53,0.015625,0.03636363636363636,0.02185792349726776,0.5087784463120253,0.6013119533528001,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
3.0,16,time_median,1024,256,122,55,2,120,53,0.01639344262295082,0.03636363636363636,0.022598870056497175,0.5087784463120253,0.6013119533528001,491520000.0,184320000.0,245534850.14614567,69584.53909578723,9969,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
3.0,32,time_median,1024,256,65,55,2,63,53,0.03076923076923077,0.03636363636363636,0.03333333333333333,0.5087784463120253,0.6013119533528001,491520000.0,184320000.0,245534850.14614567,37755.318684834296,5409,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PDCCH': 1, 'PDSCH': 1}"
4.0,4,time_median,1024,256,128,55,12,116,43,0.09375,0.21818181818181817,0.13114754098360656,0.1977784834876973,0.6766762649115506,491520000.0,184320000.0,245534850.14614567,72934.98334957175,10449,"{'CSI-RS': 2, 'CSI-RS (TRS)': 8, 'PBCH': 14, 'PDCCH': 2, 'PDSCH': 1, 'PSS': 14, 'SSS': 14}","{'PBCH': 10, 'PDCCH': 1, 'PDSCH': 1}"
