policy,samples,mean_bits_per_frame,mean_utility,semantic_delivery_score,detail_delivery_score,priority_detail_score,detail_per_mbit,action_summary_only_ratio,action_semantic_only_ratio,action_semantic_plus_roi_ratio,action_lowres_plus_semantic_ratio,action_jpeg_full_ratio,spectrum_scheme,packet_loss,ber,clean_rate
spectrum_rule,83,6540.872888481262,1.3605045199725456,0.7486676248632068,0.007053243138365851,0.007505374108773917,1.0783336197813742,0.0,0.9879518072289156,0.012048192771084338,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
dqn,83,7039.000822155211,1.369677436333178,0.7351500184072802,0.026250183503116885,0.011699357653020267,3.729248534890719,0.0,0.9518072289156626,0.04819277108433735,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
oracle_policy,83,6617.920163755367,1.369929147198269,0.7459506773311122,0.015864856183518777,0.007505374108773917,2.3972571126509625,0.0,0.9759036144578314,0.024096385542168676,0.0,0.0,semantic_hard_rep3,0.2,0.0001,0.9308
summary_only,74,177.0,0.2698831968201203,0.14994690934451116,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.0,0.0001,0.9038
semantic_only,74,5471.810810810811,1.7797883182294767,0.9891360752926525,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.0,0.0001,0.9038
spectrum_rule,74,48207.918499470055,3.7261195246623524,0.9092909409604903,0.8148311299489003,0.8999627405405763,16.902433361810832,0.0,0.0945945945945946,0.02702702702702703,0.8783783783783784,0.0,spectrogram8_partial,0.0,0.0001,0.9038
dqn,74,51866.16567097634,3.8494633323883556,0.9023605398975247,0.9023605398975247,0.899474528388003,17.397864835851447,0.0,0.0,0.12162162162162163,0.8783783783783784,0.0,spectrogram8_partial,0.0,0.0001,0.9038
oracle_policy,74,51459.56863618115,3.8524044258448322,0.9031108449711969,0.9031108449711969,0.8999627405405763,17.549910908818244,0.0,0.0,0.0945945945945946,0.9054054054054054,0.0,spectrogram8_partial,0.0,0.0001,0.9038
summary_only,83,177.0,0.26670034874891896,0.14817866041606606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
semantic_only,83,5347.024096385542,1.6658714055842205,0.9258405824865482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
spectrum_rule,83,5347.024096385542,1.6658714055842205,0.9258405824865482,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.05,0.0001,0.899
dqn,83,44320.46015401629,2.27769041525776,0.5585922613232571,0.515330096689218,0.5100966030654421,11.62736340954978,0.0,0.04819277108433735,0.12048192771084337,0.8313253012048193,0.0,spectrogram8_partial,0.05,0.0001,0.899
oracle_policy,83,43529.10400943798,2.277698079151952,0.5637604681648637,0.5117323682761724,0.5062185321786528,11.75609698203801,0.0,0.060240963855421686,0.12048192771084337,0.8192771084337349,0.0,spectrogram8_partial,0.05,0.0001,0.899
summary_only,81,177.0,0.2634486750463286,0.14637217502573807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
semantic_only,81,5017.888888888889,1.5682165704027125,0.871565953927433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
spectrum_rule,81,5017.888888888889,1.5682165704027125,0.871565953927433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
dqn,81,15441.130665552026,1.7011305645229333,0.701944523384891,0.18585620623081447,0.17231326863203802,12.036437632475021,0.0,0.6049382716049383,0.13580246913580246,0.25925925925925924,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
oracle_policy,81,14093.252555618052,1.704769062626961,0.7217826040148586,0.17283518591559166,0.1589626022328855,12.26368329337103,0.0,0.6419753086419753,0.1111111111111111,0.24691358024691357,0.0,spectrogram8_partial,0.1,0.0001,0.8960000000000001
summary_only,75,177.0,0.2562249526992748,0.14235899594404158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
semantic_only,75,5541.8,1.325871585112224,0.7369647783956799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
spectrum_rule,75,5541.8,1.325871585112224,0.7369647783956799,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
dqn,75,5706.738247901235,1.3313101110814645,0.7318318293485507,0.005631274652805142,0.005785556150142269,0.9867764050464649,0.0,0.9866666666666667,0.013333333333333334,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
oracle_policy,75,5706.738247901235,1.3313101110814645,0.7318318293485507,0.005631274652805142,0.005785556150142269,0.9867764050464649,0.0,0.9866666666666667,0.013333333333333334,0.0,0.0,spectrogram8_partial,0.2,0.0001,0.8788
